City,Country,Lat,Lng,Max Temp,Current Description,Hotel Name
Barauli,IN,26.4,84.5833,74.93,clear sky,Riya Hotel
Along,IN,28.1667,94.7667,75.76,clear sky,Hotel West
Saint-Pierre,RE,-21.3393,55.4781,80.28,clear sky,Alize Plage
Dubti,ET,11.7361,41.0853,78.12,clear sky,degu Shiferaw
Cayenne,GF,4.9333,-52.3333,77.04,broken clouds,Hôtel Le Dronmi
Byron Bay,AU,-28.65,153.6167,79.95,scattered clouds,Backpackers Inn
Innisfail,AU,-17.5333,146.0333,87.53,broken clouds,Moondarra Motel
Bandarbeyla,SO,9.4942,50.8122,79.43,broken clouds,JABIR HOTEL
Biak,ID,-0.9131,122.8766,81.84,light rain,Penginapan Kim
Maraba,BR,-5.3686,-49.1178,72.32,broken clouds,Hotel Del Principe
Puerto Leguizamo,CO,-0.1934,-74.7819,72.59,scattered clouds,la casona de juancho
Sao Felix Do Xingu,BR,-6.6447,-51.995,71.51,broken clouds,Rio Xingu Camping
Gold Coast,AU,-28.0,153.4333,88.45,scattered clouds,Mantra Towers of Chevron Surfers Paradise
Isangel,VU,-19.55,169.2667,83.34,clear sky,Tanna Lodge
Urucara,BR,-2.5364,-57.76,79.3,overcast clouds,Pousada Maria Bonita
Hosanagara,IN,13.9167,75.0667,76.35,overcast clouds,Hotel Malpe
Padang,ID,-0.9492,100.3543,84.25,moderate rain,Mercure Padang
Gondanglegi,ID,-7.7479,112.0132,89.13,overcast clouds,pondok pesantren mamba'ul 'ulum selo rejo
Thanh Hoa,VN,19.8,105.7667,84.38,broken clouds,Khách Sạn Ngọc Ly 8
Nampula,MZ,-15.1165,39.2666,79.34,clear sky,Ruby Backpackers
Siocon,PH,7.7061,122.1353,87.19,broken clouds,ABS Hotel
Saint-Leu,RE,-21.15,55.2833,79.66,overcast clouds,La Caz Oceane
Jieshi,CN,22.8134,115.8257,70.66,light rain,Yuehai Hotel
Labuhan,ID,-6.8844,112.2051,87.87,overcast clouds,DoubleFAG
Someshwar,IN,13.5,75.0667,82.67,overcast clouds,Kadinamane Homestay
Itarema,BR,-2.9248,-39.9167,79.7,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
Acarau,BR,-2.8856,-40.12,79.3,scattered clouds,castelo pizzaria
Sur,OM,22.5667,59.5289,80.15,clear sky,Sur Plaza Hotel
Bushehr,IR,28.9684,50.8385,75.69,few clouds,Yas Hotel
Ghanzi,BW,-21.5667,21.7833,72.27,broken clouds,Ghanzi Farmhouse
