City_Description,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Andenes,NO,69.3143,16.1194,32.94,86,0,10.36,clear sky
137,Maldonado,UY,-34.6667,-54.9167,61.99,96,100,13.67,overcast clouds
138,Matara,LK,5.9485,80.5353,84.56,66,50,8.48,scattered clouds
139,Nizwa,OM,22.9333,57.5333,75.4,44,41,0.92,scattered clouds
140,Kyshtovka,RU,56.555,76.6271,13.84,93,100,11.99,overcast clouds
141,Mar Del Plata,AR,-38.0023,-57.5575,57.22,94,100,11.99,overcast clouds
142,Domoni,KM,-12.2569,44.5319,80.89,70,6,2.06,clear sky
143,Araouane,ML,18.9048,-3.5265,63.55,25,100,13.0,overcast clouds
144,Colchester,GB,51.8892,0.9042,43.29,86,98,17.65,overcast clouds
145,Tasiilaq,GL,65.6145,-37.6368,34.81,86,100,24.7,light snow
146,Sola,VU,-13.8833,167.55,82.85,72,12,7.31,few clouds
147,Puerto Ayacucho,VE,5.6639,-67.6236,73.78,92,38,3.74,scattered clouds
148,Cuiluan,CN,47.72,128.648,23.61,40,0,8.99,clear sky
149,Sakakah,SA,29.9697,40.2064,54.97,54,62,7.47,broken clouds
150,Geraldton,AU,-28.7667,114.6,99.01,11,91,13.8,overcast clouds
151,Otane,NZ,-39.8833,176.6333,68.54,70,34,8.61,light rain
152,Bendigo,AU,-36.7667,144.2833,61.65,58,95,5.01,overcast clouds
153,Ulladulla,AU,-35.35,150.4667,66.87,38,48,1.21,scattered clouds
154,Alta Floresta,BR,-9.8756,-56.0861,68.86,97,85,1.9,overcast clouds
155,Nova Odesa,UA,47.3078,31.7851,39.02,81,100,11.21,overcast clouds
156,Coruripe,BR,-10.1256,-36.1756,74.12,84,100,7.14,overcast clouds
157,Saurimo,AO,-9.6608,20.3916,64.33,97,97,2.42,overcast clouds
158,Tabou,CI,4.423,-7.3528,77.22,87,3,6.46,clear sky
159,Victoria,HK,22.2855,114.1577,78.96,85,100,7.0,overcast clouds
160,Bambanglipuro,ID,-7.95,110.2833,81.55,76,100,9.64,overcast clouds
161,Gat,IL,31.61,34.7642,69.4,66,100,5.12,overcast clouds
162,Chuy,UY,-33.6971,-53.4616,65.07,97,100,7.83,light rain
163,Veraval,IN,20.9,70.3667,81.81,33,80,11.07,broken clouds
164,Banjar,ID,-8.19,114.9675,85.86,72,99,3.47,overcast clouds
165,Codrington,AU,-38.2667,141.9667,57.9,77,84,19.19,broken clouds
166,Chumikan,RU,54.7183,135.315,15.26,76,48,22.64,scattered clouds
167,Lesnoy,RU,57.6198,63.0784,9.91,90,76,7.45,broken clouds
168,Hambantota,LK,6.1241,81.1185,84.54,74,20,6.91,few clouds
169,Carandai,BR,-20.9536,-43.8064,60.76,91,97,4.76,overcast clouds
170,Bundaberg,AU,-24.85,152.35,85.21,33,83,3.0,broken clouds
